# Simple Perfect	Compound Perfect	Contingent	Compound Imperfect	Jussive	Imperative	Gerund	Infinitive	Participle	Translation	Verb Type
ሸበሸበ	ሸብሽቧል	ይሸበሽብ	ይሸበሽባል	ይሸብሽብ	ሽብሽብ	ሽብሽቦ	መሸብሸብ	ሸብሻቢ	plait	t
ሸተተ	ሸቷል	ይሸት	ይሸታል	ይሽተት	ሽተት	ሽቶ	መሽተት	ሸታች	smell	i
ሸነ 2nd ሸነህ	ሸንቷል	ይሽን	ይሽናል	ይሸን	ሽን	ሽንቶ	መሽነት ፤ መሸን		make water	i
ሸኘ 2nd ኘህ	ሸኝቷል	ይሽኝ	ይሸኛል	ይሸኝ	ሽኝ	ሽኝቶ	መሸኘት 	ሸኚ	escort	t
ሻገተ	ሻግቷል	ይሻግት	ይሻግታል	ይሻግት		ሻግቶ	መሻገት	ሻጋች	be mouldy	i
ሸጠ	ሺጧል	ይሽጥ	ይሸጣል	ይሺጥ	ሺጥ	ሺጦ	መሸጥ	ሻጭ	sell	t
ሸፈነ	ሸፍኗል	ይሸፍን	ይሸፍናል	ይሸፍን	ሽፍን	ሸፍኖ	መሸፈን	ሸፋኝ	wrap	t
ቀላ	ቀልቷል	ይቀላ	ይቀላል	ይቅላ		ቀልቶ	መቅላት	ቀይ	be red	i
ቀለመ	ቀልሟል	ይቀልም	ይቀልማል	ይቅለም	ቅለም	ቀልሞ	መቅለም	ቀላሚ	stain	t
ቀለቀለ	ቀልቅሏል	ይቀለቅል	ይቀለቅላል	ይቀላቅል	ቀልቅል	ቀልቅሎ	መቀልቀል	ቀልቃይ	mix	t
ቀለቀለ	ቀላቅሏል	ይቀላቅል	ይቀላቅላል	ይቀላቅል	ቀላቅል	ቀላቅሎ	መቀላቀል	ቀላቃይ	mix	t
ቀለጠ	ቀልጧል	ይቀልጥ	ይቀልጣል	ይቅለጥ		ቀልጦ	መቅለጥ	ቀላጭ	melt	i
ቈለፈ	ቈልፏል	ይቈልፍ	ይቈልፋል	ይቈልፍ	ቈልፍ	ቈልፎ	መቈለፍ	ቈላፊ	lock	t
ቀማ	ቀምቷል	ይቀማ	ይቀማል	ይቀማ	ቀማ	ቀምቶ	መቀማት	ቀሚ	rob	t
ቆመ	ቁሟል	ይቆም	ይቆማል	ይቁም	ቁም	ቁሞ	መቆም	ቋሚ	stand	i
ቀመሰ	ቀምሷል	ይቀምስ	ይቀምሳል	ይቅመስ	ቅመስ	ቀምሶ	መቅመስ	ቀማሽ	taste	t
ቀረ 2nd ቀረህ	ቀርቷል	ይቀር	ይቀራል	ይቅር	ቅር	ቀርቶ	መቅረት 	ቀሪ	remain behind	i
ቀረበ	ቀርቧል	ይቀርብ	ይቀርባል	ይቅረብ	ቅረብ	ቀርቦ	መቅረብ	ቀራቢ	approach	i
ቀረጠ	ቀርጧል	ይቀርጥ	ይቀርጣል	ይቅረጥ	ቅረጥ	ቀርጦ	መቅረጥ	ቀራጭ	charge dues	i
ቈረጠ	ቈርጧል	ይቈርጥ	ይቈርጣል	ይቍረጥ	ቍረጥ	ቈርጦ	መቍረጥ	ቈራጭ	cut	t
ቈሰለ	ቈስሏል	ይቈስል	ይቈስላል	ይቍሰል	ቍስል	ቈሰሎ	መቍሰል	ቈሳይ	be wounded	p
ቀሰቀሰ	ቀስቅሷል	ይቀስቅስ	ይቀሰቅሳል	ይቀስቅስ	ቀስቅስ	ቀስቅሶ	መቀስቀስ	ቀስቃሽ	rouse	t
ቀቀለ	ቀቅሏል	ይቀቅል	ይቀቅላል	ይቀቅል	ቀቅል	ቀቅሎ	መቀቀል	ቀቃይ	boil	t
ቀባ	ቀብቷል	ይቀባ	ይቀባል	ይቅባ	ቅባ	ቀብቶ	መቅባት	ቀባ	anoint	t
ቀበረ	ቀብሯል	ይቀብር	ይቀብራል	ይቅበር	ቅበር	ቀብሮ	መቅበር	ቀባሪ	bury	t
ቀበጠ	ቀብጧል	ይቀብጥ	ይቀብጣል	ይቅበጥ	ቅበጥ	ቀብጦ	መቅበጥ	ቀባጭ	play the fool	i
ቀና	ቀንቷል	ይቀና	ይቀናል	ይቅና	ቅና	ቀንቶ	መቅናት	ቀኝ	be straight	i
ቀነተ	ቀንቷል	ይቀንት	ይቀንታል	ይቀንት	ቀንት	ቀንቶ	መቀነት	ቀናች	put girths on	t
ቈነጠጠ	ቈንጥጧል	ይቈንጥጥ	ይቈነጥጣል	ይቈንጥጥ	ቈንጥጥ	ቈንጥጦ	መቈንጠጥ	ቈንጣጭ	be cold	i
ቀዘቀዘ	ቀዝቅዟል	ይቀዘቅዝ	ይቀዘቅዛል	ይቀዝቅዝ		ቀዝቅዞ	መቀዝቀዝ	ቀዝቃዥ	be cold 	i
ቀዘነ	ቀዝኗል	ይቀዝን 	ይቀዝናል			ቀዝኖ	መቅዘን	ቀዛኝ	have diarrhoea	i
ቈየ 2nd ቈየህ	ቈይቷል	ይቈይ	ይቈያል	ይቈይ	ቈይ ፤ ቈዩ	ቈይቶ	መቈየት		await	t
ቀዳ	ቀድቷል	ይቀዳ	ይቀዳል	ይቅዳ	ቅዳ	ቀድቶ	መቅዳት	ቀጅ	draw (liquids)	t
ቀደመ	ቀድሟል	ይቀድም	ይቀድማል	ይቅደም	ቅደም	ቀድሞ	መቅደም	ቀዳሚ	precede	t
ቀደደ	ቀዷል	ይቀድ	ይቀዳል	ይቅደድ	ቅደድ	ቀዶ	መቅደድ	ቀዳጅ	tear	t
ቀጣ	ቀጥቷል	ይቀጣ	ይቀጣል	ይቅጣ	ቅጣ	ቀጥቶ	መቅጣት	ቀጭ	punish	t
ቀጠለ	ቀጥሏል	ይቀጣ	ይቀጥላል	ይቀጥል	ቀጥል	ቀጥሎ	መቀጠል	ቀጣይ	join	t
ቀጠረ	ቀጥሯል	ይቀጥር	ይቀጥራል	ይቅጠር	ቅጠር	ቀጥሮ	መቅጠር	ቀጣሪ	engage	t
ቈጠረ	ቈጥሯል	ይቈጥር	ይቈጥራል	ይቍጠር	ቍጠር	ቈጥሮ	መቍጠር	ቈጣሪ	count	t
ቋጠረ	ቋጥሯል	ይቋጥር	ይቋጥራል	ይቋጥር	ቋጥር	ቋጥሮ	መቋጠር	ቋጣሪ	knot	t
ቀጠቀጠ	ቀጥቅጧል	ይቀጠቅጥ	ይቀጠቅጣል	ይቀጥቅጥ	ቀጥቅጥ	ቀጥቅጦ	መቀጥቀጥ	ቀጥቃጭ	strike repeatedly	t
ቈጠበ	ቈጥቧል	ይቈጥብ	ይቈጥባል	ይቈጥብ	ቈጥብ	ቈጥቦ	መቈጠብ	ቈጣቢ	save, (money etc.)	t
ቀጠነ	ቀጥኗል	ይቀጥን	ይቀጥናል	ይቅጠን		ቀጥኖ	መቅጠን	ቀጣኝ	be thin	t
ቀጠፈ	ቀጥፏል	ይቀጥፍ	ይቀጥፋል	ይቅጠፍ	ቅጠፍ	ቀጥፎ	መቅጠፍ	ቀጣፊ	cheat	t
ቈፈረ	ቈፍሯል	ይቈፍር	ይቈፍራል	ይቈፍር	ቈፍር	ቈፍሮ	መቈፈር	ቈፋሪ	dig	t
በላ	በልቷል	ይበላ	ይበላል	ይብላ	ብላ	በልቶ	መብላት	በይ	eat	t
በለጠ	በልጧል	ይበልጥ	ይበልጣል	ይብለጥ		በልጦ	መብለጥ	በላጭ	be more	t
በራ	በርቷል	ይበራ	ይበራል	ይብራ		በርቶ	መብራት	በሪ	shine	i
በረረ	በሯል	ይበር	ይበራል	ይብረር	ብረር	በሮ	መብረር	በራሪ	fly	i
በረታ	በርትቷል	ይበርታ	ይበረታል	ይበርታ	በርታ	በርትቶ	መበርታት	በርች	be strong	i
በረደ	በርዷል	ይበርድ	ይበርዳል	ይብረድ		በርዶ	መብረድ		be cold	i
በሰለ	በስሏል	ይበስል	ይበስላል	ይብሰል	ብስል	በስሎ	መብሰል	በሳይ	ripen	i
በሰበሰ	በስብሷል	ይበሰብስ	ይበሰብሳል	ይበስበስ	በስብስ	በስብሶ	መበስበስ	በስባሽ	be drenched	i
በቃ	በቅቷል	ይበቃ	ይበቃል	ይብቃ		በቅቶ	መብቃት	በቂ	suffice	i
በቀለ	በቅሏል	ይበቅል	ይበቅላል	ይብቀል		በቅሎ	መብቀል	በቃይ	sprout	i
በተነ	በትኗል	ይበትን	ይበትናል	ይበትን	በትን	በትኖ	መበተን	በታኝ	scatter	t
በዛ	በዝቷል	ይበዛ	ይበዛል	ይብዛ	ብዛ	በዝቶ	መብዛት	በዢ	be much	i
በደለ	በድሏል	ይበድል	ይበድላል	ይበድል	በድል	በድሎ	መበደል	በዳይ	ill-treat	t
በደነ	በድኗል	ይበድን	የበድናል			በድኖ	መበደን		be paralysed	i
በጀ 2nd ጀህ	በጅቷል	ይበጅ	ይበጃል	ይበጅ		በጅቶ	መበጀት		be good	i
ተለላከ	ተለልኳል	ይለላክ	ይለላካል	ይለላክ	ተለላክ	ተለልኮ	መለላክ	ተለላኪ	be sent to and fro	
ተለመደ	ተለምዷል	ይለመድ	ይለመዳል	ይለመድ	ተለመድ	ተለምዶ	መለመድ	ተለማጅ	be used	p
ተላሰ	ተልሷል	ይላስ	ይላሳል	ይላስ	ተላስ	ተልሶ	መላስ	ተላሽ	be licked	p
ተለቀመ	ተለቅሟል	ይለቀም	ይለቀማል	ይለቀም		ተለቅሞ	መለቀም	ተለቃሚ	be picked	p
ተላቀሰ	ተላቅሷል	ይላቀስ	ይላቀሳል	ይላቀስ	ተላቀስ	ተላቅሶ	መላቀስ	ተላቃሽ	mourn publicly	i
ተለቀቀ	ተለቋል	ይለቀቅ	ይለቀቃል	ይለቀቅ	ተለቀቅ	ተለቆ	መለቀቅ	ተለቃቂ	be given up	p
ተለቃቀመ	ተለቃቅሟል	ይለቃቀም	ይለቃቀማል	ይለቃቀም		ተለቃቅሞ	መለቃቀም	ተለቃቃሚ	be picked out	p
ተለበበ	ተለብቧል	ይለበብ	ይለበባል	የለበብ		ተለብቦ	መለበብ	ተለባቢ	have a halter put on	p
ታለበች	ታልባለች	ትታለብ	ትታለባለች	ትታለብ	ታለቢ	ታልባ	መታለብ	ታላቢ	be milked	p
ተለካ	ተለክቷል	ይለካ	ይለካል	ይለካ	ተለካ	ተለክቶ	መለካት	ተለኪ	be measured	p
ተላከ	ተልኳል	ይላክ	ይላካል	ይላክ	ተላክ	ተልኮ	መላክ	ተላኪ	be sent  	p
ተለወጠ	ተለውጧል	ይለወጥ	ይለወጣል	ይለወጥ	ተለወጥ	ተለውጦ	መለወጥ	ተለዋጭ	be changed	p
ተለየ 2nd ተለየህ	ተለይቷል	ይለይ	ይለያል	ይለይ ፤ ይለዩ		ተለይቶ	መለየት	ተለዪ	be distinguished	p
ተለጐመ	ተለጕሟል	ይለጐም	ይለጐማል	ይለጐም		ተለጕሞ	መለጐም		have a bridle put on	p
ተላጨ 2nd ተላጨህ	ተላጭቷል	ይላጭ	ይላጫል	ይላጭ	ተላጭ	ተላጭቶ	መላጨት	ተላጪ	be shaved	p
ተመላለሰ	ተመላልሷል	ይመላለስ	ይመላለሳል	ይመላለስ	ተመላለሰ	ተመላልሶ	መመላለስ	ተመላላሽ	come and go 	i
ተመለሰ	ተመልሷል	ይመለስ	ይመለሳል	ይመለስ	ተመለስ	ተመልሶ	መመለስ	ተመላሽ	return	i
ተመለከተ	ተመልክቷል	ይመለከት	ይመለከታል	ይመልከት	ተመልከት	ተመልክቶ	መመልከት	ተመልካች	watch	t
ታመመ	ታሟል	ይታመም	ይታመማል	ይታመም		ታሞ	መታመም	ታማሚ	be ill	i
ተመራ	ተመርቷል	ይመራ	ይመራል	ይመራ	ተመራ	ተመርቶ	መመራት	ተመሪ	be guided	p
ተማረ	ተምሯል	ይማር	ይማራል	ይማር	ተማር	ተምሮ	መማር	ተማሪ	(a) learn (b) be forgiven	p
ተመረመረ	ተመርምሯል	ይመርመር	ይመረመራል	ይመርመር		ተመርምሮ	መመርመር	ተመርማሪ	be examined	p
ተመረረ	ተመሯል	ይመረር	ይመረራል	አይመረር	አትመረር	ተመሮ	መመረር	ተመራሪ	be annoyed	i
ተማረከ	ተማርኳል	ይማረክ	ይማረካል	ይማረክ	ተማረክ	ተማርኮ	መማረክ	ተማራኪ	be captured	p
ተመረጠ	ተመርጧል	ይመረጥ	ይመረጣል	ይመረጥ	ተመረጥ	ተመርጦ	መመረጥ	ተመራጭ	be chosen	p
