# Amharic Name	FULL_NAME	FULL_NAME_ND
አቡዬ	Ābuyē	Abuye
	Ābuyē Shet’	Abuye Shet'
አብዛ	Ābza	Abza
	Acaca	Acaca
	Acheca	Acheca
	Acachilo	Acachilo
	Acado	Acado
	Acaita	Acaita
	Achfa	Achfa
	Ascifà	Ascifa
	Acalè	Acale
	Acalei	Acalei
	Mount Acalei	Mount Acalei
	Akalé	Akale
	Acam	Acam
	Acara Mariam	Acara Mariam
	Acari	Acari
	Acheri	Acheri
	Accevo	Accevo
	Acchera	Acchera
	Acchiscio	Acchiscio
	Accuba	Accuba
	Acefer	Acefer
	Āch’aba	Ach'aba
አጨበር ቦታ	Āch’ader Bota	Ach'ader Bota
	Āch’ader Maryam Bēte Kristīyan	Ach'ader Maryam Bete Kristiyan
	Āch’alak’o	Ach'alak'o
	Ascialaco	Ascialaco
አጨልቆ ኪዳነ ምህረት ቤተ	Āch’alak’o Kīdane Mihret Bēte	Ach'alak'o Kidane Mihret Bete
	Āch’anē	Ach'ane
	Achene Mariam	Achene Mariam
	Asciani	Asciani
	Āchanī Shet’	Achani Shet'
አጫዋች	Āch’awach	Ach'awach
አጨበር ቦታ	Āch’eber Bota	Ach'eber Bota
	Āch’ewa Bado	Ach'ewa Bado
ጨልቆ ሚካኤል ቤተ ክርስቲያን	Āch’ilak’o Mīka’ēl Bēte Kristīyan	Ach'ilak'o Mika'el Bete Kristiyan
	Āch’indow	Ach'indow
	Āch’lat’	Ach'lat'
	Āch’o Shet’	Ach'o Shet'
	Achua	Achua
	Aciua	Aciua
	Acioda	Acioda
	Acodavlei	Acodavlei
	Acioio	Acioio
	Aciulla	Aciulla
	Acquabollente	Acquabollente
	Acscera	Acscera
	Acsera	Acsera
አክሱም	Acsum	Acsum
	Collina Acsum	Collina Acsum
	Actu	Actu
	Amba Acudib	Amba Acudib
	Amba Acuedib	Amba Acuedib
	Aculle	Aculle
	Aculle	Aculle
አባ	Āda	Ada
	Ada	Ada
	Adaa	Adaa
	Ada	Ada
	Āda’ā	Ada'a
	Āda’ā	Ada'a
	Āda’ā	Ada'a
	Āda’ā Bota	Ada'a Bota
	Adaala	Adaala
	Āda’āl YeTerara Senselet	Ada'al YeTerara Senselet
	Āda’ā Maryam Bēte Kristīyan	Ada'a Maryam Bete Kristiyan
	Āda’ā Maryam Bēte Kristīyan	Ada'a Maryam Bete Kristiyan
	Ādaba	Adaba
	Ādabay Shet’	Adabay Shet'
	Ad Abba Abdu	Ad Abba Abdu
	Ad Abbati	Ad Abbati
	Adabiba	Adabiba
	Adebaiba	Adebaiba
	Ādabo	Adabo
	Ad Acoro	Ad Acoro
