#Amharic Name	Latin Transcription	ASCII Transcription
ብርሃነ መስቀል ደስታ /ደጃዝማች/	Berhanä-Mäsqäl Dästä	Berhane Meskel Desta 
ብርሀነ መስፍን	Berhanä Mäsfen	Berhanć Mesfin
ብርሃኑ ከበደ	Berhanu Käbbädä	Berhanu Kebede
ብርሃኑ ዘርይሁን	Berhanu Zäryhun	Berhanu Zerihun
ብርሃኑ ድንቄ	Berhanu Denqé	Berhanu Dinke
ብርሃኔ ወልደማርያም	Berhané Wäldämaryam	Berhane Woldemariam
ብርሃኔ ጉቻለወርቅ	Berhané Guččäläwarq	Berhane Guchalework
ብዙ ወርቅ መርሻ	Bezu-Wärq Märša	Bezu-Work Mersha
ቦጋለ ዋለሉ	Boggalä Walälu	Bogale Walelu
ተረፈ አስረስ	Tärräfä Asräs	Terefe Asres
ተሰማ ሀብተ ሚካኤል	Täsämma Habtä-Mikaél	Tesema Habte Michael
ተስፋ ደስታ	Täsfa Dästa	Tesfa Desta
ተስፋ ሥላሴ /አባ/	Täsfa-Sellasé	Tesfa Silassie
ተስፋ እግዚእ ገብረ እግዚአብሔር	Täsfa-Egzi Gäbrä-Egziabhér	Tesfa Egzi Gebre Egziabher
ተስፋ ወልደ ሥላሴ	Täsfa Waldä-Sellasé	Tesfa Wolde Selassie
ተስፋዬ ለማ	Täsfayé Lämma	Tesfaye Lemma
ተስፋዬ ረታ	Täsfayé Rätta	Tesfaye Reta
ተስፋዬ ስቋር	Täsfayé Seqwar	Tesfaye Sekwar
ተስፋዬ ብርሀኑ	Täsfayé Berhanu	Tesfaye Birhanu
ተስፍዬ ኃብተ ማርያም	Täsfayé Habtä-Maryam	Tesfaye Habte Mariam
ተስፋዬ ነጋሽ	Täsfayé Nägaš	Tesfaye Negash
ተስፋዬ አበበ	Tasfayé Abbäbä	Tesfaye Abebe
ተስፋዬ አፈወርቅ	Täsfayé Afäwärq	Tesfaye Afework
ተስፋዬ እሸቴ	Tasfayé Ešäté	Tesfaye Eshete
ተስፋዬ ወርቁ	Täsfayé Wärqu	Tesfaye Worku
ተስፋዬ የውነቴ	Täsfayé Yäwnäté	Tesfaye Yewnete
ተስፋዬ ገሠሠ	Täsfayé Gässäsä	Tesfaye Gessesse
ተስፋ ገብረ ሥላሴ	Täsfa Gäbrä-Sellasé	Tesfa Gebre Silassie
ተስፋ ጊዮርጊስ	Täsfa-Giyorgis	Tesfa Giorgis
ተሻገር ውቤ	Täšagär Webé	Teshager Wube
ተሾመ ተክሌ	Täšomä Täklé	Teshome Tekle
ተሾመ ወልደ ጻድቅ	Täšomä Wäldä-Sadeq	Teshome Walde Tsadik
ተሾመ ገብረ ሥላሴ	Täšomä Gäbrä-Sellasé	Teshome Gebre Silassie
ተሾመ ጋርዴ	Täšomä Garredé	Teshome Garide
ተቋመ ወልደ ጻድቅ	Taqwamä Waldä-Sadeq	Tekome Wolde Tsadik
